zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
27932,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
38865,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.113134973987,0.0550774305481,0.104546028197
38846,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.113134973987,0.0550774305481,0.104546028197
38835,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.113134973987,0.0550774305481,0.104546028197
38834,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.113134973987,0.0550774305481,0.104546028197
35011,289,City of Alexander City,AL,Bundled,Municipal,0.13279944019,0.0683136450449,0.0922701054411
67061,296,"Alfalfa Electric Coop, Inc",KS,Bundled,Cooperative,0.11436111722,0.0757791810959,0.0948419301165
67150,296,"Alfalfa Electric Coop, Inc",KS,Bundled,Cooperative,0.11436111722,0.0757791810959,0.0948419301165
67057,296,"Alfalfa Electric Coop, Inc",KS,Bundled,Cooperative,0.11436111722,0.0757791810959,0.0948419301165
67009,296,"Alfalfa Electric Coop, Inc",KS,Bundled,Cooperative,0.11436111722,0.0757791810959,0.0948419301165
67138,296,"Alfalfa Electric Coop, Inc",KS,Bundled,Cooperative,0.11436111722,0.0757791810959,0.0948419301165
73758,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73722,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73726,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73728,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73729,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73718,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73753,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73842,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73766,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73761,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73739,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73760,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73719,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73717,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73716,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73749,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
73771,296,"Alfalfa Electric Coop, Inc",OK,Bundled,Cooperative,0.117443457559,0.0532528872611,0.0947370495163
71301,298,City of Alexandria - (LA),LA,Bundled,Municipal,0.0426232449892,0.00397308740792,0.043343197247
71306,298,City of Alexandria - (LA),LA,Bundled,Municipal,0.0426232449892,0.00397308740792,0.043343197247
71307,298,City of Alexandria - (LA),LA,Bundled,Municipal,0.0426232449892,0.00397308740792,0.043343197247
71309,298,City of Alexandria - (LA),LA,Bundled,Municipal,0.0426232449892,0.00397308740792,0.043343197247
71315,298,City of Alexandria - (LA),LA,Bundled,Municipal,0.0426232449892,0.00397308740792,0.043343197247
49878,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49821,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49822,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49825,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49826,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49808,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49806,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49819,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49818,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49817,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49816,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49891,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49895,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49896,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49812,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49845,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49886,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49887,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49883,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49880,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49885,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49839,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49864,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49862,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49863,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49873,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49872,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
49874,305,Alger-Delta Coop Electric Assn,MI,Bundled,Cooperative,0.155590346724,0.136861511767,0.205550807712
52159,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52052,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52169,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52160,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52162,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52164,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52072,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52077,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52076,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52147,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52146,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52142,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52141,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52140,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52047,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52042,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
52170,329,"Allamakee-Clayton El Coop, Inc",IA,Bundled,Cooperative,0.122823436886,0,0.139059308244
30401,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
30473,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
30470,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
30410,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
31027,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
30448,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
30447,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
30445,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
30454,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
30457,407,Altamaha Electric Member Corp,GA,Bundled,Cooperative,0.116811305783,0.0721412906131,0.131370578512
73522,416,City of Altus - (OK),OK,Bundled,Municipal,0.101671243842,0.0677424104842,0.12507472705
50013,554,City of Ames - (IA),IA,Bundled,Municipal,0.083800569444,0.0772156604799,0.113747147703
